City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Kipini,KE,-2.5257,40.5262,80.89,86,37,11.43,scattered clouds
214,Berlevag,NO,70.8578,29.0864,38.44,74,95,3.0,overcast clouds
215,Iqaluit,CA,63.7506,-68.5145,36.7,69,100,13.0,overcast clouds
216,Kamenka,RU,51.3223,42.7678,41.83,74,7,6.49,clear sky
217,Katsuura,JP,35.1333,140.3,57.31,64,100,3.2,overcast clouds
218,Bowen,AU,-20.0167,148.2333,78.39,78,11,3.65,few clouds
219,Gunnedah,AU,-30.9833,150.25,55.02,82,6,4.0,clear sky
220,Pangnirtung,CA,66.1451,-65.7125,33.35,99,100,9.53,snow
221,Baoding,CN,38.8511,115.4903,54.1,52,94,4.92,overcast clouds
222,Kahului,US,20.8947,-156.47,85.26,62,1,9.22,clear sky
223,Castletown,IE,53.0281,-9.0686,48.69,84,100,17.11,overcast clouds
224,Bethanien,NA,-26.502,17.1583,75.92,19,0,2.8,clear sky
225,Lompoc,US,34.6391,-120.4579,72.1,79,20,10.36,few clouds
226,Sur,OM,22.5667,59.5289,81.37,53,0,6.58,clear sky
227,Lubbock,US,33.6001,-101.8338,86.38,14,1,5.01,clear sky
228,Glomfjord,NO,66.8167,13.9667,46.67,96,100,6.96,overcast clouds
229,Iquitos,PE,-3.7481,-73.2472,93.24,49,40,2.3,scattered clouds
230,Gallup,US,35.5281,-108.7426,70.56,26,1,3.0,clear sky
231,Almaznyy,RU,48.0448,40.045,42.94,69,0,4.41,clear sky
232,Bilibino,RU,68.0546,166.4372,-8.81,100,100,1.7,overcast clouds
233,Bahia Blanca,AR,-38.7196,-62.2724,62.33,48,100,19.98,overcast clouds
234,Simao,CN,22.7886,100.9748,59.14,99,28,2.1,scattered clouds
235,Maceio,BR,-9.6658,-35.7353,83.64,65,40,11.5,scattered clouds
236,Oranjestad,AW,12.524,-70.027,78.39,85,100,9.73,overcast clouds
237,Kuyanovo,RU,55.8014,54.5372,41.97,95,100,10.94,overcast clouds
238,Grindavik,IS,63.8424,-22.4338,37.87,93,0,10.36,clear sky
239,Kodiak,US,57.79,-152.4072,47.71,87,90,32.21,mist
240,Halifax,CA,44.6453,-63.5724,53.1,83,67,1.99,broken clouds
241,Nishihara,JP,26.1842,127.7558,72.68,68,20,5.75,few clouds
242,San Matias,BO,-16.3667,-58.4,77.61,71,94,12.55,overcast clouds
243,Ilulissat,GL,69.2167,-51.1,37.42,65,75,10.36,broken clouds
244,Kenai,US,60.5544,-151.2583,45.14,81,90,16.11,light rain
245,Zhurivka,UA,50.5028,31.7849,31.98,77,0,7.67,clear sky
246,Zhigansk,RU,66.7697,123.3711,-1.46,96,100,16.93,overcast clouds
247,Natchez,US,31.5604,-91.4032,67.89,57,1,9.22,clear sky
248,Alice Springs,AU,-23.7,133.8833,60.35,77,75,0.0,broken clouds
249,Miandrivazo,MG,-19.5167,45.4667,74.32,71,24,4.56,few clouds
250,Muisne,EC,0.6,-80.0333,82.51,73,23,9.69,few clouds
251,Nuzvid,IN,16.7833,80.85,74.75,94,87,2.89,overcast clouds
252,Douentza,ML,14.9951,-2.9517,93.24,21,94,3.15,overcast clouds
253,Malakal,SS,9.5334,31.6605,79.0,61,53,2.84,broken clouds
254,Natitingou,BJ,10.3042,1.3796,79.38,42,100,4.43,overcast clouds
255,Maunabo,PR,18.0072,-65.8993,89.42,73,44,8.99,scattered clouds
256,Nuuk,GL,64.1835,-51.7216,39.81,65,75,32.21,broken clouds
257,Nikki,BJ,9.9401,3.2108,79.29,39,94,3.38,overcast clouds
258,Launceston,AU,-41.45,147.1667,48.79,92,14,9.22,few clouds
259,Biak,ID,-0.9131,122.8766,75.97,85,100,3.42,overcast clouds
260,Kalabo,ZM,-14.97,22.6814,80.8,42,87,1.54,overcast clouds
261,Sayyan,YE,15.1718,44.3244,57.85,53,96,11.12,overcast clouds
262,Glossa,GR,35.4717,23.7763,62.1,80,100,7.14,overcast clouds
263,Bukama,CD,-9.2,25.85,70.7,93,76,3.11,broken clouds
264,Westport,US,41.1415,-73.3579,63.63,91,20,1.99,few clouds
265,Jacareacanga,BR,-6.2222,-57.7528,90.48,47,55,2.1,broken clouds
266,Berdigestyakh,RU,62.0989,126.6992,2.17,99,69,4.45,broken clouds
267,Port Lincoln,AU,-34.7333,135.8667,52.65,75,0,9.01,clear sky
268,Kottagudem,IN,17.55,80.6333,74.21,92,99,1.45,overcast clouds
269,Iralaya,HN,15.0,-83.2333,80.69,83,100,15.41,overcast clouds
270,Yushala,RU,57.0761,64.2601,29.95,79,97,12.35,overcast clouds
271,Cachoeira Do Sul,BR,-30.0392,-52.8939,84.18,51,95,4.7,overcast clouds
272,Qasigiannguit,GL,68.8193,-51.1922,37.65,79,100,11.92,overcast clouds
273,Pokhara,NP,28.2333,83.9833,61.05,85,78,2.84,broken clouds
274,Goure,NE,13.9835,10.2704,88.02,12,6,7.87,clear sky
275,Maxixe,MZ,-23.8597,35.3472,70.59,73,0,8.68,clear sky
276,Kholtoson,RU,50.2981,103.3097,27.77,91,99,3.67,overcast clouds
277,San Patricio,US,28.017,-97.5169,85.05,17,0,2.39,clear sky
278,Maarianhamina,AX,60.0973,19.9348,46.26,100,90,4.61,overcast clouds
279,Oktyabrskoye,RU,43.0645,44.7417,37.54,93,0,6.71,mist
280,Altay,CN,47.8667,88.1167,37.35,65,100,5.19,overcast clouds
281,Jiaojiang,CN,28.6803,121.4428,57.0,84,0,4.25,light rain
282,Gaogou,CN,34.0175,119.1886,57.02,71,1,4.85,light rain
283,Plettenberg Bay,ZA,-34.0527,23.3716,59.09,91,2,3.36,clear sky
284,Astana,KZ,51.1801,71.446,37.35,87,75,22.37,broken clouds
285,Ahipara,NZ,-35.1667,173.1667,61.86,94,100,7.87,moderate rain
286,Along,IN,28.1667,94.7667,58.91,78,6,1.74,clear sky
287,Belmonte,BR,-15.8631,-38.8828,79.3,74,95,7.0,overcast clouds
288,Dondo,MZ,-19.6094,34.7431,74.71,76,1,6.11,clear sky
289,Yerbogachen,RU,61.2767,108.0108,34.39,82,100,13.42,overcast clouds
290,Kuruman,ZA,-27.4524,23.4325,63.0,29,0,8.99,clear sky
291,Golden,US,39.7555,-105.2211,73.51,19,40,1.99,scattered clouds
292,Salinas,US,36.6777,-121.6555,70.7,76,40,4.61,scattered clouds
293,Margate,GB,51.3813,1.3862,53.31,82,72,1.01,broken clouds
294,Nayoro,JP,44.3506,142.4578,38.5,77,100,3.33,overcast clouds
295,Padang,ID,-0.9492,100.3543,77.47,90,100,3.71,heavy intensity rain
296,Pilar,BR,-9.5972,-35.9567,82.33,69,2,9.35,clear sky
297,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,85.71,66,100,2.73,overcast clouds
298,Emerald,AU,-23.5333,148.1667,75.97,23,7,21.09,clear sky
299,Shimoda,JP,34.6667,138.95,57.11,70,100,7.25,overcast clouds
300,Constitucion,CL,-35.3333,-72.4167,64.47,63,100,14.74,overcast clouds
301,Glendive,US,47.1053,-104.7125,47.03,57,90,20.71,overcast clouds
302,Carnarvon,AU,-24.8667,113.6333,66.27,68,0,12.66,clear sky
303,Tazovskiy,RU,67.4667,78.7,9.73,94,100,14.45,light snow
304,Dharchula,IN,29.85,80.5333,53.28,36,0,7.4,clear sky
305,Chadiza,ZM,-14.0678,32.4392,72.82,32,2,4.25,clear sky
306,Akyab,MM,20.15,92.9,78.57,80,44,4.83,scattered clouds
307,Bengkulu,ID,-3.8004,102.2655,75.83,91,100,4.54,overcast clouds
308,Hun,LY,29.1268,15.9477,72.5,29,100,7.2,overcast clouds
309,Varnavino,RU,57.4035,45.0916,46.06,93,100,6.15,overcast clouds
310,Aswan,EG,24.0934,32.907,86.7,25,74,6.71,broken clouds
311,Kutum,SD,14.2,24.6667,76.89,17,6,5.19,clear sky
312,Menongue,AO,-14.6585,17.691,71.73,63,92,3.74,overcast clouds
313,Olafsvik,IS,64.8945,-23.7142,43.23,90,72,18.41,broken clouds
314,Saint-Georges,GD,12.0564,-61.7485,81.7,70,28,11.16,scattered clouds
315,Qaqortoq,GL,60.7167,-46.0333,30.7,75,65,4.25,broken clouds
316,Bose,IT,45.4612,8.0137,49.24,91,100,1.14,overcast clouds
317,Muli,MV,2.9167,73.5667,82.74,74,9,14.16,clear sky
318,Thinadhoo,MV,0.5333,72.9333,82.98,75,42,17.52,scattered clouds
319,Dongsheng,CN,39.8161,109.9776,30.78,50,0,10.0,clear sky
320,Campbell River,CA,50.0163,-125.2446,47.26,73,1,2.44,clear sky
321,Shingu,JP,33.7333,135.9833,59.18,83,74,6.67,broken clouds
322,Kargalinskaya,RU,43.7417,46.4792,46.29,90,0,8.34,clear sky
323,Ovre Ardal,NO,61.3167,7.8,39.81,93,100,8.01,overcast clouds
324,Labuhan,ID,-6.8844,112.2051,80.02,82,90,3.18,overcast clouds
325,Aklavik,CA,68.2191,-135.0107,15.8,92,75,5.75,broken clouds
326,Znamenskoye,RU,57.1281,73.8282,26.04,79,100,7.74,light snow
327,Hella,NO,67.2,14.4333,48.34,93,75,20.71,light intensity drizzle rain
328,Meulaboh,ID,4.1363,96.1285,75.56,89,100,4.23,overcast clouds
329,Kirakira,SB,-10.4544,161.9205,81.59,78,89,9.98,overcast clouds
330,Norman Wells,CA,65.282,-126.8329,17.64,93,90,8.05,fog
331,Novovorontsovka,UA,47.5004,33.9175,47.98,68,0,10.98,clear sky
332,Kupang,ID,-10.1667,123.5833,79.47,82,100,4.65,overcast clouds
333,Esil,KZ,51.9556,66.4042,37.76,96,100,21.97,light rain
334,Senanga,ZM,-16.1167,23.2667,78.6,45,35,3.96,scattered clouds
335,Pokrovsk,UA,48.282,37.1758,43.59,68,0,7.05,clear sky
336,Gushikawa,JP,26.3544,127.8686,72.63,94,1,5.75,clear sky
337,Flinders,AU,-34.5833,150.8552,55.8,82,0,1.01,clear sky
338,Puerto Lumbreras,ES,37.5633,-1.8097,70.11,64,100,6.38,overcast clouds
339,Wanning,CN,18.8003,110.3967,76.12,87,85,9.28,overcast clouds
340,Gigmoto,PH,13.7796,124.39,80.26,71,100,12.68,overcast clouds
341,Sao Filipe,CV,14.8961,-24.4956,79.86,75,77,10.18,broken clouds
342,Escarcega,MX,18.6089,-90.7454,85.48,37,11,7.02,few clouds
343,Kisangani,CD,0.5167,25.2,71.24,94,42,1.16,scattered clouds
344,Talnakh,RU,69.4865,88.3972,14.14,96,100,5.19,light snow
345,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,93,100,16.84,light rain
